"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,4,10,9,6,2010-10-09,"DL",19790,"DL","N6713Y",2227,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,11697,1169702,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,1605,1608,3,3,0,0,"1600-1659",25,1633,1755,3,1759,1758,-1,0,0,-1,"1700-1759",0,"",0,114,110,82,1,581,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,27,3,2010-10-27,"EV",20366,"EV","N717EV",5109,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,13871,1387101,33316,"OMA","Omaha, NE","NE",31,"Nebraska",65,1135,1208,33,33,1,2,"1100-1159",31,1239,1344,3,1301,1347,46,46,1,3,"1300-1359",0,"",0,146,159,125,1,821,4,33,0,13,0,0,NA,NA,NA
2010,4,10,20,3,2010-10-20,"FL",20437,"FL","N968AT",248,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,14524,1452401,34524,"RIC","Richmond, VA","VA",51,"Virginia",38,845,841,-4,0,0,-1,"0800-0859",26,907,1014,4,1016,1018,2,2,0,0,"1000-1059",0,"",0,91,97,67,1,481,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,25,1,2010-10-25,"DL",19790,"DL","N3751B",1997,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC",37,"North Carolina",36,1220,1238,18,18,1,1,"1200-1259",18,1256,1355,4,1339,1359,20,20,1,1,"1300-1359",0,"",0,79,81,59,1,356,2,18,0,2,0,0,NA,NA,NA
2010,4,10,14,4,2010-10-14,"EV",20366,"EV","N604QX",5060,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,11624,1162401,31624,"EYW","Key West, FL","FL",12,"Florida",33,1900,2158,178,178,1,11,"1900-1959",32,2230,2353,4,2050,2357,187,187,1,12,"2000-2059",0,"",0,110,119,83,1,646,3,35,0,9,0,143,NA,NA,NA
2010,4,10,20,3,2010-10-20,"EV",20366,"EV","N902EV",5075,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,13422,1342201,30562,"MOB","Mobile, AL","AL",1,"Alabama",51,820,816,-4,0,0,-1,"0800-0859",15,831,822,3,845,825,-20,0,0,-2,"0800-0859",0,"",0,85,69,51,1,302,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,31,7,2010-10-31,"DL",19790,"DL","N768NC",1514,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,11721,1172101,31721,"FNT","Flint, MI","MI",26,"Michigan",43,1605,1652,47,47,1,3,"1600-1659",17,1709,1838,2,1800,1840,40,40,1,2,"1800-1859",0,"",0,115,108,89,1,644,3,0,0,0,0,40,NA,NA,NA
2010,4,10,10,7,2010-10-10,"DL",19790,"DL","N669DN",1669,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1855,1857,2,2,0,0,"1800-1859",57,1954,2052,6,2030,2058,28,28,1,1,"2000-2059",0,"",0,95,121,58,1,403,2,0,0,28,0,0,NA,NA,NA
2010,4,10,15,5,2010-10-15,"DL",19790,"DL","N918DL",2694,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,14100,1410001,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,1220,1218,-2,0,0,-1,"1200-1259",25,1243,1424,11,1429,1435,6,6,0,0,"1400-1459",0,"",0,129,137,101,1,665,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,11,1,2010-10-11,"FL",20437,"FL","N957AT",968,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,10158,1015803,30158,"ACY","Atlantic City, NJ","NJ",34,"New Jersey",21,2100,2056,-4,0,0,-1,"2100-2159",15,2111,2238,4,2255,2242,-13,0,0,-1,"2200-2259",0,"",0,115,106,87,1,678,3,NA,NA,NA,NA,NA,NA,NA,NA
