"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,2,5,24,1,2010-05-24,"WN",19393,"WN","N434WN",1945,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,13931,1393101,33667,"ORF","Norfolk, VA","VA",51,"Virginia",38,830,833,3,3,0,0,"0800-0859",13,846,923,4,920,927,7,7,0,0,"0900-0959",0,"",0,50,54,37,1,159,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,11,2,2010-05-11,"UA",19977,"UA","N553UA",17,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,713,728,15,15,1,1,"0700-0759",24,752,846,5,825,851,26,26,1,1,"0800-0859",0,"",0,132,143,114,1,622,3,0,0,26,0,0,NA,NA,NA
2010,2,5,1,6,2010-05-01,"WN",19393,"WN","N404WN",436,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1840,1837,-3,0,0,-1,"1800-1859",7,1844,1924,8,1950,1932,-18,0,0,-2,"1900-1959",0,"",0,130,115,100,1,611,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,7,5,2010-05-07,"US",20355,"US","N834AW",365,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,700,800,60,60,1,4,"0700-0759",10,810,946,3,910,949,39,39,1,2,"0900-0959",0,"",0,310,289,276,1,1999,8,39,0,0,0,0,NA,NA,NA
2010,2,5,23,7,2010-05-23,"WN",19393,"WN","N486WN",1052,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,12451,1245101,31136,"JAX","Jacksonville, FL","FL",12,"Florida",33,820,818,-2,0,0,-1,"0800-0859",10,828,959,4,1020,1003,-17,0,0,-2,"1000-1059",0,"",0,120,105,91,1,663,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,21,5,2010-05-21,"WN",19393,"WN","N944WN",401,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,710,712,2,2,0,0,"0700-0759",11,723,919,4,925,923,-2,0,0,-1,"0900-0959",0,"",0,315,311,296,1,2106,9,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,21,5,2010-05-21,"WN",19393,"WN","N917WN",630,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1100,1116,16,16,1,1,"1100-1159",7,1123,1248,9,1300,1257,-3,0,0,-1,"1300-1359",0,"",0,240,221,205,1,1491,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,31,1,2010-05-31,"WN",19393,"WN","N355SW",647,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,14307,1430701,30721,"PVD","Providence, RI","RI",44,"Rhode Island",15,845,852,7,7,0,0,"0800-0859",10,902,953,2,1000,955,-5,0,0,-1,"1000-1059",0,"",0,75,63,51,1,328,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,18,2,2010-05-18,"US",20355,"US","N426US",1881,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,1955,1959,4,4,0,0,"1900-1959",23,2022,2127,7,2125,2134,9,9,0,0,"2100-2159",0,"",0,90,95,65,1,361,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,25,2,2010-05-25,"AA",19805,"AA","N3ADAA",981,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,13303,1330302,32467,"MIA","Miami, FL","FL",12,"Florida",33,610,609,-1,0,0,-1,"0600-0659",13,622,829,4,845,833,-12,0,0,-1,"0800-0859",0,"",0,155,144,127,1,946,4,NA,NA,NA,NA,NA,NA,NA,NA
