"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,1,1,30,6,2010-01-30,"US",20355,"US","N192UW",881,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,11697,1169702,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,1145,1140,-5,0,0,-1,"1100-1159",48,1228,1410,4,1351,1414,23,23,1,1,"1300-1359",0,"",0,126,154,102,1,631,3,0,0,23,0,0,NA,NA,NA
2010,1,1,10,7,2010-01-10,"US",20355,"US","N167US",822,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,2215,2313,58,58,1,3,"2200-2259",10,2323,102,6,15,108,53,53,1,3,"0001-0559",0,"",0,120,115,99,1,728,3,0,0,0,0,53,NA,NA,NA
2010,1,1,11,1,2010-01-11,"US",20355,"US","N508AY",195,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,730,735,5,5,0,0,"0700-0759",17,752,958,11,1021,1009,-12,0,0,-1,"1000-1059",0,"",0,291,274,246,1,1774,8,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,29,5,2010-01-29,"YV",20378,"YV","N913FJ",2942,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,12264,1226401,30852,"IAD","Washington, DC","VA",51,"Virginia",38,1408,1405,-3,0,0,-1,"1400-1459",15,1420,1510,5,1524,1515,-9,0,0,-1,"1500-1559",0,"",0,76,70,50,1,321,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,22,5,2010-01-22,"US",20355,"US","N438US",1476,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,1751,1751,0,0,0,0,"1700-1759",13,1804,1902,5,1909,1907,-2,0,0,-1,"1900-1959",0,"",0,78,76,58,1,361,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,30,6,2010-01-30,"US",20355,"US","N768US",1745,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,14685,1468501,34685,"SAV","Savannah, GA","GA",13,"Georgia",34,1118,1216,58,58,1,3,"1100-1159",61,1317,1405,5,1215,1410,115,115,1,7,"1200-1259",0,"",0,57,114,48,1,213,1,0,0,57,0,58,NA,NA,NA
2010,1,1,10,7,2010-01-10,"DL",19790,"DL","N309DE",1706,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1757,1749,-8,0,0,-1,"1700-1759",12,1801,1841,7,1933,1848,-45,0,0,-2,"1900-1959",0,"",0,96,59,40,1,227,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,2,6,2010-01-02,"US",20355,"US","",894,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,2005,NA,NA,NA,NA,NA,"2000-2059",NA,NA,NA,NA,2124,NA,NA,NA,NA,NA,"2100-2159",1,"A",0,79,NA,NA,1,227,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,29,5,2010-01-29,"YV",20378,"YV","N913FJ",2942,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,12264,1226401,30852,"IAD","Washington, DC","VA",51,"Virginia",38,1408,1405,-3,0,0,-1,"1400-1459",15,1420,1510,5,1524,1515,-9,0,0,-1,"1500-1559",0,"",0,76,70,50,1,321,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,25,1,2010-01-25,"US",20355,"US","N191UW",1624,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,2015,2011,-4,0,0,-1,"2000-2059",13,2024,2055,38,2123,2133,10,10,0,0,"2100-2159",0,"",0,128,142,91,1,599,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,8,5,2010-01-08,"US",20355,"US","N758US",1238,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,15096,1509601,35096,"SYR","Syracuse, NY","NY",36,"New York",22,2209,2213,4,4,0,0,"2200-2259",25,2238,2354,4,2351,2358,7,7,0,0,"2300-2359",0,"",0,102,105,76,1,603,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,4,1,2010-01-04,"XE",20374,"XE","N12552",2587,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,1623,1642,19,19,1,1,"1600-1659",26,1708,1844,7,1820,1851,31,31,1,2,"1800-1859",0,"",0,177,189,156,1,913,4,5,0,12,0,14,NA,NA,NA
2010,1,1,22,5,2010-01-22,"US",20355,"US","N712US",966,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,10693,1069301,30693,"BNA","Nashville, TN","TN",47,"Tennessee",54,1140,1138,-2,0,0,-1,"1100-1159",28,1206,1209,5,1209,1214,5,5,0,0,"1200-1259",0,"",0,89,96,63,1,329,2,NA,NA,NA,NA,NA,NA,NA,NA
