"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,4,11,24,3,2010-11-24,"UA",19977,"UA","N668UA",69,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,1035,1032,-3,0,0,-1,"1000-1059",17,1049,1205,4,1210,1209,-1,0,0,-1,"1200-1259",0,"",0,155,157,136,1,862,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,28,7,2010-11-28,"B6",20409,"B6","N624JB",98,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,59,57,-2,0,0,-1,"0001-0559",13,110,609,7,632,616,-16,0,0,-2,"0600-0659",0,"",0,213,199,179,1,1626,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,23,2,2010-11-23,"OO",20304,"OO","N216SW",7040,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,11865,1186501,31865,"GCC","Gillette, WY","WY",56,"Wyoming",88,1920,1917,-3,0,0,-1,"1900-1959",11,1928,2027,4,2049,2031,-18,0,0,-2,"2000-2059",0,"",0,89,74,59,1,313,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,18,4,2010-11-18,"WN",19393,"WN","N429WN",703,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,14893,1489301,33192,"SMF","Sacramento, CA","CA",6,"California",91,905,906,1,1,0,0,"0900-0959",12,918,1036,5,1045,1041,-4,0,0,-1,"1000-1059",0,"",0,160,155,138,1,909,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,5,5,2010-11-05,"OO",20304,"OO","N964SW",6746,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,14457,1445701,34457,"RAP","Rapid City, SD","SD",46,"South Dakota",67,2147,2144,-3,0,0,-1,"2100-2159",15,2159,2247,4,2257,2251,-6,0,0,-1,"2200-2259",0,"",0,70,67,48,1,300,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,27,6,2010-11-27,"OO",20304,"OO","N715SK",6281,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,14570,1457001,34570,"RNO","Reno, NV","NV",32,"Nevada",85,2138,2140,2,2,0,0,"2100-2159",15,2155,2251,4,2257,2255,-2,0,0,-1,"2200-2259",0,"",0,139,135,116,1,804,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,3,3,2010-11-03,"OO",20304,"OO","N946SW",6304,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,10620,1062001,30620,"BIL","Billings, MT","MT",30,"Montana",84,1500,1506,6,6,0,0,"1500-1559",9,1515,1625,3,1632,1628,-4,0,0,-1,"1600-1659",0,"",0,92,82,70,1,455,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,12,5,2010-11-12,"WN",19393,"WN","N676SW",189,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,1510,1519,9,9,0,0,"1500-1559",10,1529,1655,12,1705,1707,2,2,0,0,"1700-1759",0,"",0,115,108,86,1,602,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,17,3,2010-11-17,"WN",19393,"WN","N248WN",283,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,14908,1490802,32575,"SNA","Santa Ana, CA","CA",6,"California",91,2045,2044,-1,0,0,-1,"2000-2059",9,2053,2148,6,2215,2154,-21,0,0,-2,"2200-2259",0,"",0,150,130,115,1,846,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,11,16,2,2010-11-16,"DL",19790,"DL","N353NW",1816,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1030,1030,0,0,0,0,"1000-1059",19,1049,1515,8,1525,1523,-2,0,0,-1,"1500-1559",0,"",0,175,173,146,1,1199,5,NA,NA,NA,NA,NA,NA,NA,NA
