"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,2,6,13,7,2010-06-13,"AA",19805,"AA","N574AA",2006,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,13871,1387101,33316,"OMA","Omaha, NE","NE",31,"Nebraska",65,1550,1545,-5,0,0,-1,"1500-1559",13,1558,1712,4,1735,1716,-19,0,0,-2,"1700-1759",0,"",0,105,91,74,1,583,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,2,3,2010-06-02,"AA",19805,"AA","N455AA",1303,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,10140,1014001,30140,"ABQ","Albuquerque, NM","NM",35,"New Mexico",86,1550,1549,-1,0,0,-1,"1500-1559",18,1607,1626,2,1635,1628,-7,0,0,-1,"1600-1659",0,"",0,105,99,79,1,569,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,29,2,2010-06-29,"MQ",20398,"MQ","N612MQ",2952,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,14685,1468501,34685,"SAV","Savannah, GA","GA",13,"Georgia",34,1415,1454,39,39,1,2,"1400-1459",27,1521,1820,6,1740,1826,46,46,1,3,"1700-1759",0,"",0,145,152,119,1,925,4,0,29,7,0,10,NA,NA,NA
2010,2,6,17,4,2010-06-17,"MQ",20398,"MQ","N615MQ",2806,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,11995,1199501,31995,"GSO","Greensboro/High Point, NC","NC",37,"North Carolina",36,1305,1303,-2,0,0,-1,"1300-1359",20,1323,1638,3,1640,1641,1,1,0,0,"1600-1659",0,"",0,155,158,135,1,999,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,3,4,2010-06-03,"MQ",20398,"MQ","N667MQ",2749,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,11267,1126701,31267,"DAY","Dayton, OH","OH",39,"Ohio",44,905,903,-2,0,0,-1,"0900-0959",22,925,1223,4,1225,1227,2,2,0,0,"1200-1259",0,"",0,140,144,118,1,861,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,10,4,2010-06-10,"AA",19805,"AA","N371AA",7,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,13830,1383001,33830,"OGG","Kahului, HI","HI",15,"Hawaii",2,1215,1214,-1,0,0,-1,"1200-1259",12,1226,1459,5,1515,1504,-11,0,0,-1,"1500-1559",0,"",0,480,470,453,1,3711,11,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,1,2,2010-06-01,"UA",19977,"UA","N563UA",315,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,920,935,15,15,1,1,"0900-0959",18,953,1023,10,1036,1033,-3,0,0,-1,"1000-1059",0,"",0,136,118,90,1,641,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,21,1,2010-06-21,"AA",19805,"AA","N4WVAA",1410,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,15370,1537001,34653,"TUL","Tulsa, OK","OK",40,"Oklahoma",73,2235,2245,10,10,0,0,"2200-2259",14,2259,2335,6,2335,2341,6,6,0,0,"2300-2359",0,"",0,60,56,36,1,237,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,8,2,2010-06-08,"AA",19805,"AA","N425AA",1827,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,14893,1489301,33192,"SMF","Sacramento, CA","CA",6,"California",91,1625,1618,-7,0,0,-1,"1600-1659",14,1632,1747,6,1800,1753,-7,0,0,-1,"1800-1859",0,"",0,215,215,195,1,1431,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,2,3,2010-06-02,"AA",19805,"AA","N550AA",1356,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,12264,1226401,30852,"IAD","Washington, DC","VA",51,"Virginia",38,1100,1128,28,28,1,1,"1100-1159",13,1141,1523,9,1455,1532,37,37,1,2,"1400-1459",0,"",0,175,184,162,1,1172,5,6,0,9,0,22,NA,NA,NA
