"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,4,10,18,1,2010-10-18,"DL",19790,"DL","N751NW",2467,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,1955,1952,-3,0,0,-1,"1900-1959",24,2016,2004,5,2024,2009,-15,0,0,-1,"2000-2059",0,"",0,89,77,48,1,235,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,25,1,2010-10-25,"WN",19393,"WN","N772SW",1202,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,1120,1121,1,1,0,0,"1100-1159",9,1130,1113,5,1125,1118,-7,0,0,-1,"1100-1159",0,"",0,65,57,43,1,229,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,15,5,2010-10-15,"EV",20366,"EV","N376CA",5270,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,11977,1197701,31977,"GRB","Green Bay, WI","WI",55,"Wisconsin",45,1955,2126,91,91,1,6,"1900-1959",9,2135,2125,4,2019,2129,70,70,1,4,"2000-2059",0,"",0,84,63,50,1,288,2,0,0,0,0,70,NA,NA,NA
2010,4,10,31,7,2010-10-31,"9E",20363,"9E","84129E",3982,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,15380,1538001,35380,"TVC","Traverse City, MI","MI",26,"Michigan",43,1020,1015,-5,0,0,-1,"1000-1059",17,1032,1112,7,1128,1119,-9,0,0,-1,"1100-1159",0,"",0,68,64,40,1,207,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,19,2,2010-10-19,"US",20355,"US","N804AW",281,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,1125,1116,-9,0,0,-1,"1100-1159",15,1131,1222,13,1235,1235,0,0,0,0,"1200-1259",0,"",0,250,259,231,1,1671,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,1,5,2010-10-01,"9E",20363,"9E","",4210,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,15096,1509601,35096,"SYR","Syracuse, NY","NY",36,"New York",22,1720,NA,NA,NA,NA,NA,"1700-1759",NA,NA,NA,NA,1846,NA,NA,NA,NA,NA,"1800-1859",1,"A",0,86,NA,NA,1,374,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,3,7,2010-10-03,"9E",20363,"9E","84169E",3872,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,14108,1410802,34108,"PIA","Peoria, IL","IL",17,"Illinois",41,2000,1957,-3,0,0,-1,"2000-2059",32,2029,2016,8,2032,2024,-8,0,0,-1,"2000-2059",0,"",0,92,87,47,1,346,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,19,2,2010-10-19,"DL",19790,"DL","N984DL",1622,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,1720,1744,24,24,1,1,"1700-1759",13,1757,1920,9,1924,1929,5,5,0,0,"1900-1959",0,"",0,124,105,83,1,632,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,14,4,2010-10-14,"DL",19790,"DL","N369NB",2197,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,2150,2159,9,9,0,0,"2100-2159",11,2210,2234,5,2241,2239,-2,0,0,-1,"2200-2259",0,"",0,111,100,84,1,528,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,10,7,2010-10-10,"9E",20363,"9E","80249E",4199,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,10685,1068501,30685,"BMI","Bloomington/Normal, IL","IL",17,"Illinois",41,1525,1523,-2,0,0,-1,"1500-1559",13,1536,1532,8,1552,1540,-12,0,0,-1,"1500-1559",0,"",0,87,77,56,1,314,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,6,3,2010-10-06,"9E",20363,"9E","85249E",3890,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,12397,1239701,32397,"ITH","Ithaca/Cortland, NY","NY",36,"New York",22,1030,1024,-6,0,0,-1,"1000-1059",18,1042,1139,6,1152,1145,-7,0,0,-1,"1100-1159",0,"",0,82,81,57,1,353,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,30,6,2010-10-30,"DL",19790,"DL","N679DA",1303,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,11697,1169702,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,735,729,-6,0,0,-1,"0700-0759",14,743,959,4,1041,1003,-38,0,0,-2,"1000-1059",0,"",0,186,154,136,1,1127,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,1,5,2010-10-01,"US",20355,"US","N708UW",1231,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,11057,1105702,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,1910,1902,-8,0,0,-1,"1900-1959",14,1916,2043,5,2057,2048,-9,0,0,-1,"2000-2059",0,"",0,107,106,87,1,500,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,10,31,7,2010-10-31,"US",20355,"US","N656AW",654,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,755,755,0,0,0,0,"0700-0759",15,810,924,9,917,933,16,16,1,1,"0900-0959",0,"",0,262,278,254,1,1671,7,0,0,16,0,0,NA,NA,NA
2010,4,10,21,4,2010-10-21,"EV",20366,"EV","N718EV",5105,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,13871,1387101,33316,"OMA","Omaha, NE","NE",31,"Nebraska",65,1220,1222,2,2,0,0,"1200-1259",29,1251,1328,3,1325,1331,6,6,0,0,"1300-1359",0,"",0,125,129,97,1,651,3,NA,NA,NA,NA,NA,NA,NA,NA
