"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,3,9,18,6,2010-09-18,"CO",19704,"CO","N76514",1589,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,14679,1467902,33570,"SAN","San Diego, CA","CA",6,"California",91,1510,1516,6,6,0,0,"1500-1559",15,1531,1617,3,1625,1620,-5,0,0,-1,"1600-1659",0,"",0,195,184,166,1,1303,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,19,7,2010-09-19,"XE",20374,"XE","N17984",2840,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,14193,1419302,33728,"PNS","Pensacola, FL","FL",12,"Florida",33,1640,1714,34,34,1,2,"1600-1659",12,1726,1837,6,1813,1843,30,30,1,2,"1800-1859",0,"",0,93,89,71,1,489,2,30,0,0,0,0,NA,NA,NA
2010,3,9,30,4,2010-09-30,"CO",19704,"CO","N19621",1783,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,15376,1537601,30436,"TUS","Tucson, AZ","AZ",4,"Arizona",81,1145,1139,-6,0,0,-1,"1100-1159",23,1202,1210,4,1233,1214,-19,0,0,-2,"1200-1259",0,"",0,168,155,128,1,936,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,30,4,2010-09-30,"XE",20374,"XE","N13132",2171,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,13931,1393101,33667,"ORF","Norfolk, VA","VA",51,"Virginia",38,1839,1842,3,3,0,0,"1800-1859",19,1901,2232,4,2227,2236,9,9,0,0,"2200-2259",0,"",0,168,174,151,1,1201,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,23,4,2010-09-23,"XE",20374,"XE","N27152",2730,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,730,722,-8,0,0,-1,"0700-0759",14,736,757,3,818,800,-18,0,0,-2,"0800-0859",0,"",0,168,158,141,1,1009,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,9,4,2010-09-09,"CO",19704,"CO","N76514",320,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,1512,1510,-2,0,0,-1,"1500-1559",17,1527,1544,4,1601,1548,-13,0,0,-1,"1600-1659",0,"",0,169,158,137,1,1009,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,22,3,2010-09-22,"CO",19704,"CO","N39728",644,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,11042,1104201,30647,"CLE","Cleveland, OH","OH",39,"Ohio",44,1855,1853,-2,0,0,-1,"1800-1859",17,1910,2229,6,2234,2235,1,1,0,0,"2200-2259",0,"",0,159,162,139,1,1091,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,12,7,2010-09-12,"CO",19704,"CO","N39297",820,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,2055,2101,6,6,0,0,"2000-2059",16,2117,2127,4,2140,2131,-9,0,0,-1,"2100-2159",0,"",0,165,150,130,1,1009,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,10,5,2010-09-10,"CO",19704,"CO","N73291",820,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,2055,2057,2,2,0,0,"2000-2059",16,2113,2123,5,2140,2128,-12,0,0,-1,"2100-2159",0,"",0,165,151,130,1,1009,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,29,3,2010-09-29,"XE",20374,"XE","N24128",2198,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,11146,1114602,31146,"CRW","Charleston/Dunbar, WV","WV",54,"West Virginia",39,1357,1350,-7,0,0,-1,"1300-1359",11,1401,1711,8,1723,1719,-4,0,0,-1,"1700-1759",0,"",0,146,149,130,1,975,4,NA,NA,NA,NA,NA,NA,NA,NA
