"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,3,8,5,4,2010-08-05,"OH",20417,"OH","",6356,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,10257,1025701,30257,"ALB","Albany, NY","NY",36,"New York",22,2035,NA,NA,NA,NA,NA,"2000-2059",NA,NA,NA,NA,2159,NA,NA,NA,NA,NA,"2100-2159",1,"B",0,84,NA,NA,1,145,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,27,5,2010-08-27,"B6",20409,"B6","N715JB",137,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,14635,1463501,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,1920,2006,46,46,1,3,"1900-1959",16,2022,2242,2,2235,2244,9,9,0,0,"2200-2259",0,"",0,195,158,140,1,1074,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,17,2,2010-08-17,"OH",20417,"OH","N692CA",6653,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,810,840,30,30,1,2,"0800-0859",23,903,1045,8,1033,1053,20,20,1,1,"1000-1059",0,"",0,203,193,162,1,1028,5,20,0,0,0,0,NA,NA,NA
2010,3,8,10,2,2010-08-10,"B6",20409,"B6","N289JB",31,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1125,1146,21,21,1,1,"1100-1159",15,1201,1404,9,1411,1413,2,2,0,0,"1400-1459",0,"",0,166,147,123,1,944,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,24,2,2010-08-24,"OH",20417,"OH","N679CA",6321,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,13244,1324401,33244,"MEM","Memphis, TN","TN",47,"Tennessee",54,1625,1700,35,35,1,2,"1600-1659",40,1740,1844,6,1841,1850,9,9,0,0,"1800-1859",0,"",0,196,170,124,1,964,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,20,5,2010-08-20,"B6",20409,"B6","N588JB",675,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,705,659,-6,0,0,-1,"0700-0759",34,733,950,5,1001,955,-6,0,0,-1,"1000-1059",0,"",0,356,356,317,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,5,4,2010-08-05,"B6",20409,"B6","N289JB",1793,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,11697,1169702,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,1350,1400,10,10,0,0,"1300-1359",19,1419,1646,9,1700,1655,-5,0,0,-1,"1700-1759",0,"",0,190,175,147,1,1069,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,30,1,2010-08-30,"B6",20409,"B6","N595JB",703,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,14843,1484302,34819,"SJU","San Juan, PR","PR",72,"Puerto Rico",3,1524,NA,NA,NA,NA,NA,"1500-1559",NA,NA,NA,NA,1927,NA,NA,NA,NA,NA,"1900-1959",1,"B",0,243,NA,NA,1,1597,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,28,6,2010-08-28,"B6",20409,"B6","N184JB",31,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1125,1119,-6,0,0,-1,"1100-1159",10,1129,1337,7,1411,1344,-27,0,0,-2,"1400-1459",0,"",0,166,145,128,1,944,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,8,15,7,2010-08-15,"MQ",20398,"MQ","N800MQ",4146,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,11066,1106601,31066,"CMH","Columbus, OH","OH",39,"Ohio",44,1510,1507,-3,0,0,-1,"1500-1559",18,1525,1637,3,1725,1640,-45,0,0,-2,"1700-1759",0,"",0,135,93,72,1,483,2,NA,NA,NA,NA,NA,NA,NA,NA
