"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,3,9,17,5,2010-09-17,"DL",19790,"DL","N717TW",2862,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,2330,2327,-3,0,0,-1,"2300-2359",18,2345,723,6,802,729,-33,0,0,-2,"0800-0859",0,"",0,332,302,278,1,2475,10,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,13,1,2010-09-13,"MQ",20398,"MQ","N850MQ",3061,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,14679,1467902,33570,"SAN","San Diego, CA","CA",6,"California",91,1545,1549,4,4,0,0,"1500-1559",8,1557,1624,5,1630,1629,-1,0,0,-1,"1600-1659",0,"",0,45,40,27,1,109,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,19,7,2010-09-19,"US",20355,"US","N186US",1412,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,14100,1410001,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,625,620,-5,0,0,-1,"0600-0659",8,628,1417,3,1434,1420,-14,0,0,-1,"1400-1459",0,"",0,309,300,289,1,2401,10,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,15,3,2010-09-15,"OO",20304,"OO","N806SK",4709,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,1000,1102,62,62,1,4,"1000-1059",16,1118,1214,3,1112,1217,65,65,1,4,"1100-1159",0,"",0,72,75,56,1,337,2,0,0,65,0,0,NA,NA,NA
2010,3,9,15,3,2010-09-15,"OO",20304,"OO","N767SK",6448,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,1310,1307,-3,0,0,-1,"1300-1359",23,1330,1546,6,1550,1552,2,2,0,0,"1500-1559",0,"",0,160,165,136,1,954,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,28,2,2010-09-28,"F9",20436,"F9","N945FR",412,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1845,1838,-7,0,0,-1,"1800-1859",11,1849,2143,7,2157,2150,-7,0,0,-1,"2100-2159",0,"",0,132,132,114,1,862,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,21,2,2010-09-21,"OO",20304,"OO","N910EV",4789,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,14679,1467902,33570,"SAN","San Diego, CA","CA",6,"California",91,1840,1832,-8,0,0,-1,"1800-1859",11,1843,1912,4,1925,1916,-9,0,0,-1,"1900-1959",0,"",0,45,44,29,1,109,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,29,3,2010-09-29,"WN",19393,"WN","N340LV",1302,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,1855,1853,-2,0,0,-1,"1800-1859",7,1900,2002,4,2015,2006,-9,0,0,-1,"2000-2059",0,"",0,80,73,62,1,370,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,10,5,2010-09-10,"WN",19393,"WN","N926WN",928,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,730,726,-4,0,0,-1,"0700-0759",6,732,1251,2,1325,1253,-32,0,0,-2,"1300-1359",0,"",0,235,207,199,1,1751,8,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,14,2,2010-09-14,"AA",19805,"AA","N5EMAA",244,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,830,826,-4,0,0,-1,"0800-0859",17,843,1604,5,1620,1609,-11,0,0,-1,"1600-1659",0,"",0,290,283,261,1,2217,9,NA,NA,NA,NA,NA,NA,NA,NA
