"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,2,6,13,7,2010-06-13,"FL",20437,"FL","N261AT",210,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,13342,1334202,33342,"MKE","Milwaukee, WI","WI",55,"Wisconsin",45,649,644,-5,0,0,-1,"0600-0659",10,654,745,5,800,750,-10,0,0,-1,"0800-0859",0,"",0,131,126,111,1,738,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,7,1,2010-06-07,"MQ",20398,"MQ","N813MQ",4517,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,11146,1114602,31146,"CRW","Charleston/Dunbar, WV","WV",54,"West Virginia",39,1840,1834,-6,0,0,-1,"1800-1859",15,1849,2002,3,2030,2005,-25,0,0,-2,"2000-2059",0,"",0,110,91,73,1,444,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,15,2,2010-06-15,"AA",19805,"AA","N5DBAA",1565,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,13303,1330302,32467,"MIA","Miami, FL","FL",12,"Florida",33,700,706,6,6,0,0,"0700-0759",16,722,948,9,1000,957,-3,0,0,-1,"1000-1059",0,"",0,180,171,146,1,1097,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,28,1,2010-06-28,"AA",19805,"AA","N566AA",371,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,2100,2150,50,50,1,3,"2100-2159",24,2214,2305,6,2225,2311,46,46,1,3,"2200-2259",0,"",0,145,141,111,1,733,3,1,0,0,0,45,NA,NA,NA
2010,2,6,14,1,2010-06-14,"US",20355,"US","N956UW",2128,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,1300,1251,-9,0,0,-1,"1300-1359",23,1314,1357,4,1409,1401,-8,0,0,-1,"1400-1459",0,"",0,69,70,43,1,185,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,20,7,2010-06-20,"US",20355,"US","N949UW",2128,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,1300,1250,-10,0,0,-1,"1300-1359",12,1302,1348,3,1409,1351,-18,0,0,-2,"1400-1459",0,"",0,69,61,46,1,185,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,20,7,2010-06-20,"AA",19805,"AA","N573AA",705,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,600,556,-4,0,0,-1,"0600-0659",22,618,822,14,835,836,1,1,0,0,"0800-0859",0,"",0,215,220,184,1,1389,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,6,13,7,2010-06-13,"DL",19790,"DL","N6702",2647,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1800,2006,126,126,1,8,"1800-1859",34,2040,2217,19,2046,2236,110,110,1,7,"2000-2059",0,"",0,166,150,97,1,761,4,12,0,0,0,98,NA,NA,NA
2010,2,6,13,7,2010-06-13,"DL",19790,"DL","N943DL",1658,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1410,1410,0,0,0,0,"1400-1459",63,1513,1718,7,1703,1725,22,22,1,1,"1700-1759",0,"",0,173,195,125,1,950,4,0,0,22,0,0,NA,NA,NA
2010,2,6,27,7,2010-06-27,"DL",19790,"DL","N906DL",2685,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,700,656,-4,0,0,-1,"0700-0759",18,714,915,8,944,923,-21,0,0,-2,"0900-0959",0,"",0,164,147,121,1,950,4,NA,NA,NA,NA,NA,NA,NA,NA
