"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,2,4,27,2,2010-04-27,"DL",19790,"DL","N913DE",1814,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,1220,1212,-8,0,0,-1,"1200-1259",15,1227,1430,10,1511,1440,-31,0,0,-2,"1500-1559",0,"",0,171,148,123,1,944,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,4,7,2010-04-04,"FL",20437,"FL","N928AT",757,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,14576,1457602,34576,"ROC","Rochester, NY","NY",36,"New York",22,1447,1449,2,2,0,0,"1400-1459",10,1459,1712,4,1724,1716,-8,0,0,-1,"1700-1759",0,"",0,157,147,133,1,1033,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,28,3,2010-04-28,"UA",19977,"UA","N587UA",21,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1757,1753,-4,0,0,-1,"1700-1759",12,1805,1942,5,2001,1947,-14,0,0,-1,"2000-2059",0,"",0,244,234,217,1,1546,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,30,5,2010-04-30,"WN",19393,"WN","N723SW",105,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,620,621,1,1,0,0,"0600-0659",5,626,811,2,830,813,-17,0,0,-2,"0800-0859",0,"",0,130,112,105,1,787,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,8,4,2010-04-08,"FL",20437,"FL","N318AT",7,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,14843,1484302,34819,"SJU","San Juan, PR","PR",72,"Puerto Rico",3,1525,1524,-1,0,0,-1,"1500-1559",12,1536,1756,5,1810,1801,-9,0,0,-1,"1800-1859",0,"",0,165,157,140,1,1189,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,5,1,2010-04-05,"UA",19977,"UA","N561UA",259,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1117,1116,-1,0,0,-1,"1100-1159",13,1129,1305,6,1322,1311,-11,0,0,-1,"1300-1359",0,"",0,245,235,216,1,1546,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,25,7,2010-04-25,"DL",19790,"DL","N940DL",1442,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,700,656,-4,0,0,-1,"0700-0759",14,710,914,9,941,923,-18,0,0,-2,"0900-0959",0,"",0,161,147,124,1,950,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,14,3,2010-04-14,"B6",20409,"B6","N655JB",430,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,10721,1072101,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,607,558,-9,0,0,-1,"0600-0659",18,616,855,6,855,901,6,6,0,0,"0800-0859",0,"",0,168,183,159,1,1121,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,2,5,2010-04-02,"B6",20409,"B6","N547JB",526,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,11618,1161801,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,1845,1842,-3,0,0,-1,"1800-1859",15,1857,2111,7,2132,2118,-14,0,0,-1,"2100-2159",0,"",0,167,156,134,1,938,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,4,26,1,2010-04-26,"FL",20437,"FL","N292AT",831,13204,1320401,31454,"MCO","Orlando, FL","FL",12,"Florida",33,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1828,1846,18,18,1,1,"1800-1859",10,1856,2010,9,2010,2019,9,9,0,0,"2000-2059",0,"",0,102,93,74,1,403,2,NA,NA,NA,NA,NA,NA,NA,NA
