"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,2,5,20,4,2010-05-20,"DL",19790,"DL","N361NB",2182,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,2140,2138,-2,0,0,-1,"2100-2159",21,2159,13,6,26,19,-7,0,0,-1,"0001-0559",0,"",0,106,101,74,1,528,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,27,4,2010-05-27,"US",20355,"US","N112US",1848,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14100,1410001,34100,"PHL","Philadelphia, PA","PA",42,"Pennsylvania",23,645,639,-6,0,0,-1,"0600-0659",12,651,954,17,1021,1011,-10,0,0,-1,"1000-1059",0,"",0,156,152,123,1,980,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,14,5,2010-05-14,"DL",19790,"DL","N368NB",2570,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,700,701,1,1,0,0,"0700-0759",11,712,1020,13,1043,1033,-10,0,0,-1,"1000-1059",0,"",0,163,152,128,1,1028,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,5,3,2010-05-05,"9E",20363,"9E","85549E",3930,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,10469,1046901,30469,"AZO","Kalamazoo, MI","MI",26,"Michigan",43,1935,2009,34,34,1,2,"1900-1959",14,2023,2218,3,2159,2221,22,22,1,1,"2100-2159",0,"",0,84,72,55,1,426,2,22,0,0,0,0,NA,NA,NA
2010,2,5,8,6,2010-05-08,"DL",19790,"DL","N359NB",1466,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11066,1106601,31066,"CMH","Columbus, OH","OH",39,"Ohio",44,1520,1536,16,16,1,1,"1500-1559",14,1550,1807,3,1811,1810,-1,0,0,-1,"1800-1859",0,"",0,111,94,77,1,627,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,22,6,2010-05-22,"DL",19790,"DL","N378NW",1205,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,715,715,0,0,0,0,"0700-0759",16,731,912,8,913,920,7,7,0,0,"0900-0959",0,"",0,178,185,161,1,991,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,5,3,2010-05-05,"DL",19790,"DL","N359NW",2899,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,1710,1824,74,74,1,4,"1700-1759",15,1839,1945,4,1834,1949,75,75,1,5,"1800-1859",0,"",0,204,205,186,1,1276,6,74,0,1,0,0,NA,NA,NA
2010,2,5,9,7,2010-05-09,"OH",20417,"OH","N398CA",6388,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,15016,1501602,31123,"STL","St. Louis, MO","MO",29,"Missouri",64,1005,1005,0,0,0,0,"1000-1059",38,1043,1150,5,1138,1155,17,17,1,1,"1100-1159",0,"",0,93,110,67,1,449,2,0,0,17,0,0,NA,NA,NA
2010,2,5,10,1,2010-05-10,"OO",20304,"OO","N417SW",4439,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,13433,1343301,33304,"MOT","Minot, ND","ND",38,"North Dakota",66,1705,1717,12,12,0,0,"1700-1759",12,1729,1842,6,1836,1848,12,12,0,0,"1800-1859",0,"",0,91,91,73,1,449,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,20,4,2010-05-20,"DL",19790,"DL","N363NW",2999,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14107,1410701,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,2115,2124,9,9,0,0,"2100-2159",16,2140,2229,9,2234,2238,4,4,0,0,"2200-2259",0,"",0,199,194,169,1,1276,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,1,6,2010-05-01,"9E",20363,"9E","87909E",3950,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11721,1172101,31721,"FNT","Flint, MI","MI",26,"Michigan",43,1915,1911,-4,0,0,-1,"1900-1959",13,1924,2132,4,2146,2136,-10,0,0,-1,"2100-2159",0,"",0,91,85,68,1,491,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,14,5,2010-05-14,"DL",19790,"DL","N772NC",2889,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,13485,1348501,33485,"MSN","Madison, WI","WI",55,"Wisconsin",45,1020,1044,24,24,1,1,"1000-1059",10,1054,1128,5,1122,1133,11,11,0,0,"1100-1159",0,"",0,62,49,34,1,228,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,14,5,2010-05-14,"DL",19790,"DL","N772NC",2877,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11637,1163702,31637,"FAR","Fargo, ND","ND",38,"North Dakota",66,1350,1359,9,9,0,0,"1300-1359",8,1407,1444,2,1453,1446,-7,0,0,-1,"1400-1459",0,"",0,63,47,37,1,223,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,10,1,2010-05-10,"DL",19790,"DL","N945N",1552,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11977,1197701,31977,"GRB","Green Bay, WI","WI",55,"Wisconsin",45,1530,1531,1,1,0,0,"1500-1559",14,1545,1625,3,1636,1628,-8,0,0,-1,"1600-1659",0,"",0,66,57,40,1,252,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,26,3,2010-05-26,"9E",20363,"9E","88399E",3874,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14730,1473002,33044,"SDF","Louisville, KY","KY",21,"Kentucky",52,1000,958,-2,0,0,-1,"1000-1059",12,1010,1242,4,1302,1246,-16,0,0,-2,"1300-1359",0,"",0,122,108,92,1,603,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,1,6,2010-05-01,"DL",19790,"DL","N9338",1708,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,13342,1334202,33342,"MKE","Milwaukee, WI","WI",55,"Wisconsin",45,1505,1538,33,33,1,2,"1500-1559",23,1601,1647,3,1617,1650,33,33,1,2,"1600-1659",0,"",0,72,72,46,1,297,2,0,0,0,0,33,NA,NA,NA
2010,2,5,28,5,2010-05-28,"OH",20417,"OH","N676CA",6363,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,1135,1132,-3,0,0,-1,"1100-1159",39,1211,1405,6,1412,1411,-1,0,0,-1,"1400-1459",0,"",0,157,159,114,1,852,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,17,1,2010-05-17,"DL",19790,"DL","N318US",2487,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14057,1405701,34057,"PDX","Portland, OR","OR",41,"Oregon",92,2115,2115,0,0,0,0,"2100-2159",12,2127,2232,7,2255,2239,-16,0,0,-2,"2200-2259",0,"",0,220,204,185,1,1426,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,17,1,2010-05-17,"WN",19393,"WN","N772SW",285,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,15016,1501602,31123,"STL","St. Louis, MO","MO",29,"Missouri",64,640,648,8,8,0,0,"0600-0659",10,658,810,3,805,813,8,8,0,0,"0800-0859",0,"",0,85,85,72,1,449,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,24,1,2010-05-24,"DL",19790,"DL","N322NB",2682,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,13244,1324401,33244,"MEM","Memphis, TN","TN",47,"Tennessee",54,1100,1057,-3,0,0,-1,"1100-1159",11,1108,1308,6,1302,1314,12,12,0,0,"1300-1359",0,"",0,122,137,120,1,700,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,16,7,2010-05-16,"DL",19790,"DL","N591NW",2053,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,1440,1445,5,5,0,0,"1400-1459",18,1503,1612,10,1620,1622,2,2,0,0,"1600-1659",0,"",0,220,217,189,1,1399,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,17,1,2010-05-17,"DL",19790,"DL","N590NW",1853,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,1700,1700,0,0,0,0,"1700-1759",17,1717,1821,9,1843,1830,-13,0,0,-1,"1800-1859",0,"",0,223,210,184,1,1399,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,27,4,2010-05-27,"DL",19790,"DL","N590NW",1853,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,1700,1703,3,3,0,0,"1700-1759",16,1719,1828,5,1843,1833,-10,0,0,-1,"1800-1859",0,"",0,223,210,189,1,1399,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,15,6,2010-05-15,"XE",20374,"XE","N25134",2236,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11618,1161801,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,1355,1355,0,0,0,0,"1300-1359",12,1407,1709,8,1727,1717,-10,0,0,-1,"1700-1759",0,"",0,152,142,122,1,1008,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,28,5,2010-05-28,"DL",19790,"DL","N395DN",2821,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,715,714,-1,0,0,-1,"0700-0759",31,745,910,18,915,928,13,13,0,0,"0900-0959",0,"",0,240,254,205,1,1536,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,26,3,2010-05-26,"9E",20363,"9E","88949E",4394,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11337,1133702,31337,"DLH","Duluth, MN","MN",27,"Minnesota",63,1125,1121,-4,0,0,-1,"1100-1159",15,1136,1205,8,1217,1213,-4,0,0,-1,"1200-1259",0,"",0,52,52,29,1,144,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,11,2,2010-05-11,"DL",19790,"DL","N334NW",1946,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,1705,1720,15,15,1,1,"1700-1759",15,1735,1924,7,1901,1931,30,30,1,2,"1900-1959",0,"",0,176,191,169,1,991,4,15,0,15,0,0,NA,NA,NA
2010,2,5,24,1,2010-05-24,"DL",19790,"DL","N670MC",2889,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,13485,1348501,33485,"MSN","Madison, WI","WI",55,"Wisconsin",45,1020,1029,9,9,0,0,"1000-1059",23,1052,1132,3,1122,1135,13,13,0,0,"1100-1159",0,"",0,62,66,40,1,228,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,3,1,2010-05-03,"OO",20304,"OO","N865AS",4593,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11898,1189801,31898,"GFK","Grand Forks, ND","ND",38,"North Dakota",66,2145,2154,9,9,0,0,"2100-2159",7,2201,2250,4,2300,2254,-6,0,0,-1,"2300-2359",0,"",0,75,60,49,1,284,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,9,7,2010-05-09,"WN",19393,"WN","N488WN",341,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,820,814,-6,0,0,-1,"0800-0859",9,823,929,5,945,934,-11,0,0,-1,"0900-0959",0,"",0,85,80,66,1,349,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,26,3,2010-05-26,"DL",19790,"DL","N3735D",2821,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,715,708,-7,0,0,-1,"0700-0759",36,744,921,9,915,930,15,15,1,1,"0900-0959",0,"",0,240,262,217,1,1536,7,0,0,15,0,0,NA,NA,NA
2010,2,5,3,1,2010-05-03,"CO",19704,"CO","N14653",1517,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,645,640,-5,0,0,-1,"0600-0659",16,656,933,11,940,944,4,4,0,0,"0900-0959",0,"",0,175,184,157,1,1034,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,12,3,2010-05-12,"9E",20363,"9E","80009E",3989,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11898,1189801,31898,"GFK","Grand Forks, ND","ND",38,"North Dakota",66,1520,1517,-3,0,0,-1,"1500-1559",23,1540,1628,3,1635,1631,-4,0,0,-1,"1600-1659",0,"",0,75,74,48,1,284,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,9,7,2010-05-09,"DL",19790,"DL","N590NW",2053,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,1440,1542,62,62,1,4,"1400-1459",11,1553,1710,7,1620,1717,57,57,1,3,"1600-1659",0,"",0,220,215,197,1,1399,6,51,0,0,0,6,NA,NA,NA
2010,2,5,18,2,2010-05-18,"DL",19790,"DL","N317US",2519,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,2125,2250,85,85,1,5,"2100-2159",12,2302,2348,12,2233,2400,87,87,1,5,"2200-2259",0,"",0,128,130,106,1,680,3,0,0,29,0,58,NA,NA,NA
2010,2,5,8,6,2010-05-08,"DL",19790,"DL","N587NW",1203,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14057,1405701,34057,"PDX","Portland, OR","OR",41,"Oregon",92,930,933,3,3,0,0,"0900-0959",13,946,1111,5,1111,1116,5,5,0,0,"1100-1159",0,"",0,221,223,205,1,1426,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,25,2,2010-05-25,"DL",19790,"DL","N324US",1787,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14679,1467902,33570,"SAN","San Diego, CA","CA",6,"California",91,1720,1717,-3,0,0,-1,"1700-1759",14,1731,1856,2,1913,1858,-15,0,0,-1,"1900-1959",0,"",0,233,221,205,1,1532,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,14,5,2010-05-14,"F9",20436,"F9","N801FR",107,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1415,1431,16,16,1,1,"1400-1459",12,1443,1532,7,1520,1539,19,19,1,1,"1500-1559",0,"",0,125,128,109,1,680,3,16,0,3,0,0,NA,NA,NA
2010,2,5,31,1,2010-05-31,"DL",19790,"DL","N345NW",1448,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1730,1753,23,23,1,1,"1700-1759",17,1810,2024,12,2023,2036,13,13,0,0,"2000-2059",0,"",0,113,103,74,1,528,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,27,4,2010-05-27,"DL",19790,"DL","N912DN",1708,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,13342,1334202,33342,"MKE","Milwaukee, WI","WI",55,"Wisconsin",45,1505,1501,-4,0,0,-1,"1500-1559",16,1517,1601,4,1617,1605,-12,0,0,-1,"1600-1659",0,"",0,72,64,44,1,297,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,20,4,2010-05-20,"OO",20304,"OO","N431SW",4492,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,15370,1537001,34653,"TUL","Tulsa, OK","OK",40,"Oklahoma",73,1515,1521,6,6,0,0,"1500-1559",20,1541,1719,6,1650,1725,35,35,1,2,"1600-1659",0,"",0,95,124,98,1,616,3,0,0,29,0,6,NA,NA,NA
2010,2,5,9,7,2010-05-09,"OH",20417,"OH","N818CA",6489,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,11423,1142302,31423,"DSM","Des Moines, IA","IA",19,"Iowa",61,1510,1510,0,0,0,0,"1500-1559",20,1530,1620,5,1623,1625,2,2,0,0,"1600-1659",0,"",0,73,75,50,1,232,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,6,4,2010-05-06,"9E",20363,"9E","87459E",4328,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,12339,1233903,32337,"IND","Indianapolis, IN","IN",18,"Indiana",42,710,706,-4,0,0,-1,"0700-0759",11,717,926,7,952,933,-19,0,0,-2,"0900-0959",0,"",0,102,87,69,1,503,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,27,4,2010-05-27,"DL",19790,"DL","N369NB",2181,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14893,1489301,33192,"SMF","Sacramento, CA","CA",6,"California",91,925,921,-4,0,0,-1,"0900-0959",16,937,1116,4,1121,1120,-1,0,0,-1,"1100-1159",0,"",0,236,239,219,1,1518,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,18,2,2010-05-18,"OO",20304,"OO","N866AS",4836,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,10693,1069301,30693,"BNA","Nashville, TN","TN",47,"Tennessee",54,1530,1547,17,17,1,1,"1500-1559",20,1607,1746,4,1720,1750,30,30,1,2,"1700-1759",0,"",0,110,123,99,1,695,3,0,17,13,0,0,NA,NA,NA
2010,2,5,16,7,2010-05-16,"DL",19790,"DL","N343NW",1712,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,2120,2127,7,7,0,0,"2100-2159",21,2148,2306,6,2312,2312,0,0,0,0,"2300-2359",0,"",0,172,165,138,1,991,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,14,5,2010-05-14,"DL",19790,"DL","N327NB",2546,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,14635,1463501,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,1300,1300,0,0,0,0,"1300-1359",14,1314,1726,4,1720,1730,10,10,0,0,"1700-1759",0,"",0,200,210,192,1,1416,6,NA,NA,NA,NA,NA,NA,NA,NA
