"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,1,1,6,3,2010-01-06,"DL",19790,"DL","N771NC",7346,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,11433,1143301,31295,"DTW","Detroit, MI","MI",26,"Michigan",43,1010,1010,0,0,0,0,"1000-1059",11,1021,1218,10,1241,1228,-13,0,0,-1,"1200-1259",0,"",0,91,78,57,1,235,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,19,2,2010-01-19,"AA",19805,"AA","N564AA",358,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,1625,1626,1,1,0,0,"1600-1659",11,1637,1914,10,1950,1924,-26,0,0,-2,"1900-1959",0,"",0,145,118,97,1,733,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,26,2,2010-01-26,"MQ",20398,"MQ","N602MQ",3951,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,14783,1478301,34783,"SGF","Springfield, MO","MO",29,"Missouri",64,2005,2027,22,22,1,1,"2000-2059",19,2046,2157,3,2140,2200,20,20,1,1,"2100-2159",0,"",0,95,93,71,1,438,2,0,0,0,0,20,NA,NA,NA
2010,1,1,25,1,2010-01-25,"OO",20304,"OO","N941SW",6015,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,11637,1163702,31637,"FAR","Fargo, ND","ND",38,"North Dakota",66,948,NA,NA,NA,NA,NA,"0900-0959",NA,NA,NA,NA,1145,NA,NA,NA,NA,NA,"1100-1159",1,"B",0,117,NA,NA,1,557,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,4,1,2010-01-04,"DL",19790,"DL","N3766",1945,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,10397,1039703,30397,"ATL","Atlanta, GA","GA",13,"Georgia",34,1511,1505,-6,0,0,-1,"1500-1559",17,1522,1748,6,1820,1754,-26,0,0,-2,"1800-1859",0,"",0,129,109,86,1,606,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,5,2,2010-01-05,"OO",20304,"OO","N948SW",5984,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,11977,1197701,31977,"GRB","Green Bay, WI","WI",55,"Wisconsin",45,2105,2057,-8,0,0,-1,"2100-2159",24,2121,2154,3,2205,2157,-8,0,0,-1,"2200-2259",0,"",0,60,60,33,1,174,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,14,4,2010-01-14,"MQ",20398,"MQ","N659MQ",4200,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,11612,1161202,31612,"EVV","Evansville, IN","IN",18,"Indiana",42,1130,1124,-6,0,0,-1,"1100-1159",10,1134,1216,6,1230,1222,-8,0,0,-1,"1200-1259",0,"",0,60,58,42,1,273,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,1,5,2010-01-01,"MQ",20398,"MQ","N625MQ",4390,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,12217,1221701,30255,"HSV","Huntsville, AL","AL",1,"Alabama",51,1410,1406,-4,0,0,-1,"1400-1459",16,1422,1532,3,1550,1535,-15,0,0,-1,"1500-1559",0,"",0,100,89,70,1,510,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,8,5,2010-01-08,"AA",19805,"AA","N3EPAA",1565,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,13487,1348701,31650,"MSP","Minneapolis, MN","MN",27,"Minnesota",63,640,655,15,15,1,1,"0600-0659",20,715,813,4,810,817,7,7,0,0,"0800-0859",0,"",0,90,82,58,1,334,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,1,13,3,2010-01-13,"AA",19805,"AA","N262AA",398,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,12953,1295301,31703,"LGA","New York, NY","NY",36,"New York",22,615,612,-3,0,0,-1,"0600-0659",12,624,903,6,929,909,-20,0,0,-2,"0900-0959",0,"",0,134,117,99,1,733,3,NA,NA,NA,NA,NA,NA,NA,NA
