"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,2,5,7,5,2010-05-07,"OO",20304,"OO","N584SW",6874,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,14057,1405701,34057,"PDX","Portland, OR","OR",41,"Oregon",92,1604,1603,-1,0,0,-1,"1600-1659",7,1610,1653,2,1652,1655,3,3,0,0,"1600-1659",0,"",0,48,52,43,1,129,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,7,5,2010-05-07,"UA",19977,"UA","N597UA",958,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,13930,1393001,30977,"ORD","Chicago, IL","IL",17,"Illinois",41,820,819,-1,0,0,-1,"0800-0859",18,837,1400,5,1420,1405,-15,0,0,-1,"1400-1459",0,"",0,240,226,203,1,1721,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,26,3,2010-05-26,"AA",19805,"AA","N596AA",534,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,605,558,-7,0,0,-1,"0600-0659",14,612,1140,11,1200,1151,-9,0,0,-1,"1200-1259",0,"",0,235,233,208,1,1660,7,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,3,1,2010-05-03,"AS",19930,"AS","N546AS",502,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,14908,1490802,32575,"SNA","Santa Ana, CA","CA",6,"California",91,630,624,-6,0,0,-1,"0600-0659",15,639,851,5,908,856,-12,0,0,-1,"0900-0959",0,"",0,158,152,132,1,978,4,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,29,6,2010-05-29,"AS",19930,"AS","N769AS",67,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,12819,1281901,31401,"KTN","Ketchikan, AK","AK",2,"Alaska",1,1505,1504,-1,0,0,-1,"1500-1559",18,1522,1608,5,1609,1613,4,4,0,0,"1600-1659",0,"",0,124,129,106,1,680,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,29,6,2010-05-29,"CO",19704,"CO","N75436",366,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,12266,1226602,31453,"IAH","Houston, TX","TX",48,"Texas",74,1345,1342,-3,0,0,-1,"1300-1359",10,1352,1928,6,1950,1934,-16,0,0,-2,"1900-1959",0,"",0,245,232,216,1,1874,8,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,9,7,2010-05-09,"AS",19930,"AS","N525AS",8,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,11618,1161801,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,905,1037,92,92,1,6,"0900-0959",20,1057,1837,6,1729,1843,74,74,1,4,"1700-1759",0,"",0,324,306,280,1,2401,10,0,0,74,0,0,NA,NA,NA
2010,2,5,16,7,2010-05-16,"AS",19930,"AS","N565AS",608,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,12889,1288902,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,1840,1902,22,22,1,1,"1800-1859",11,1913,2123,9,2107,2132,25,25,1,1,"2100-2159",0,"",0,147,150,130,1,866,4,22,0,3,0,0,NA,NA,NA
2010,2,5,31,1,2010-05-31,"WN",19393,"WN","N433LV",1174,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,10140,1014001,30140,"ABQ","Albuquerque, NM","NM",35,"New Mexico",86,755,753,-2,0,0,-1,"0700-0759",9,802,1125,5,1150,1130,-20,0,0,-2,"1100-1159",0,"",0,175,157,143,1,1180,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,2,5,23,7,2010-05-23,"AA",19805,"AA","N4XGAA",1230,14747,1474702,30559,"SEA","Seattle, WA","WA",53,"Washington",93,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,2315,2309,-6,0,0,-1,"2300-2359",12,2321,451,3,500,454,-6,0,0,-1,"0001-0559",0,"",0,225,225,210,1,1660,7,NA,NA,NA,NA,NA,NA,NA,NA
