"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,1,2,17,3,2010-02-17,"UA",19977,"UA","N551UA",41,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,12982,1298201,32982,"LIH","Lihue, HI","HI",15,"Hawaii",2,910,907,-3,0,0,-1,"0900-0959",17,924,1256,4,1258,1300,2,2,0,0,"1200-1259",0,"",0,348,353,332,1,2447,10,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,4,4,2010-02-04,"DL",19790,"DL","N727TW",186,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,12478,1247801,31703,"JFK","New York, NY","NY",36,"New York",22,900,852,-8,0,0,-1,"0900-0959",48,940,1722,17,1748,1739,-9,0,0,-1,"1700-1759",0,"",0,348,347,282,1,2586,11,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,12,5,2010-02-12,"OO",20304,"OO","N569SW",6195,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,11002,1100201,31002,"CIC","Chico, CA","CA",6,"California",91,1621,NA,NA,NA,NA,NA,"1600-1659",NA,NA,NA,NA,1716,NA,NA,NA,NA,NA,"1700-1759",1,"C",0,55,NA,NA,1,153,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,27,6,2010-02-27,"AA",19805,"AA","N435AA",414,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,11298,1129802,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,1340,1434,54,54,1,3,"1300-1359",20,1454,1952,4,1910,1956,46,46,1,3,"1900-1959",0,"",0,210,202,178,1,1464,6,0,0,0,0,46,NA,NA,NA
2010,1,2,3,3,2010-02-03,"WN",19393,"WN","N439WN",197,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,2015,2012,-3,0,0,-1,"2000-2059",13,2025,2118,5,2140,2123,-17,0,0,-2,"2100-2159",0,"",0,85,71,53,1,337,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,14,7,2010-02-14,"AA",19805,"AA","N573AA",1943,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,12892,1289201,32575,"LAX","Los Angeles, CA","CA",6,"California",91,1850,1849,-1,0,0,-1,"1800-1859",18,1907,2003,5,2010,2008,-2,0,0,-1,"2000-2059",0,"",0,80,79,56,1,337,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,7,7,2010-02-07,"OO",20304,"OO","N236SW",6549,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,14698,1469801,34236,"SBP","San Luis Obispo, CA","CA",6,"California",91,2232,2228,-4,0,0,-1,"2200-2259",22,2250,2332,3,2338,2335,-3,0,0,-1,"2300-2359",0,"",0,66,67,42,1,191,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,6,6,2010-02-06,"UA",19977,"UA","",294,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,10821,1082103,30852,"BWI","Baltimore, MD","MD",24,"Maryland",35,1516,NA,NA,NA,NA,NA,"1500-1559",NA,NA,NA,NA,2323,NA,NA,NA,NA,NA,"2300-2359",1,"B",0,307,NA,NA,1,2457,10,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,26,5,2010-02-26,"OO",20304,"OO","N295SW",6262,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,11638,1163802,31638,"FAT","Fresno, CA","CA",6,"California",91,750,753,3,3,0,0,"0700-0759",10,803,840,3,847,843,-4,0,0,-1,"0800-0859",0,"",0,57,50,37,1,158,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,1,2,7,7,2010-02-07,"OO",20304,"OO","N580SW",6846,14771,1477101,32457,"SFO","San Francisco, CA","CA",6,"California",91,14689,1468901,34689,"SBA","Santa Barbara, CA","CA",6,"California",91,1042,1100,18,18,1,1,"1000-1059",23,1123,1219,3,1201,1222,21,21,1,1,"1200-1259",0,"",0,79,82,56,1,262,2,18,0,3,0,0,NA,NA,NA
