"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime"
2010,3,9,2,4,2010-09-02,"OO",20304,"OO","N403SW",6595,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,838,832,-6,0,0,-1,"0800-0859",13,845,949,18,1021,1007,-14,0,0,-1,"1000-1059",0,"",0,103,95,64,1,390,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,25,6,2010-09-25,"DL",19790,"DL","N399DA",2640,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,15016,1501602,31123,"STL","St. Louis, MO","MO",29,"Missouri",64,1946,1944,-2,0,0,-1,"1900-1959",22,2006,2329,6,2331,2335,4,4,0,0,"2300-2359",0,"",0,165,171,143,1,1156,5,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,5,7,2010-09-05,"OO",20304,"OO","N862AS",4623,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,13433,1343301,33304,"MOT","Minot, ND","ND",38,"North Dakota",66,1349,1339,-10,0,0,-1,"1300-1359",13,1352,1619,4,1649,1623,-26,0,0,-2,"1600-1659",0,"",0,120,104,87,1,737,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,18,6,2010-09-18,"OO",20304,"OO","N565SW",7802,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,15389,1538901,35389,"TWF","Twin Falls, ID","ID",16,"Idaho",83,1057,1053,-4,0,0,-1,"1000-1059",12,1105,1142,4,1203,1146,-17,0,0,-2,"1200-1259",0,"",0,66,53,37,1,175,1,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,1,3,2010-09-01,"OO",20304,"OO","N668CA",4621,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,10140,1014001,30140,"ABQ","Albuquerque, NM","NM",35,"New Mexico",86,2138,2130,-8,0,0,-1,"2100-2159",16,2146,2256,7,2316,2303,-13,0,0,-1,"2300-2359",0,"",0,98,93,70,1,493,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,29,3,2010-09-29,"OO",20304,"OO","N824SK",4721,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,12954,1295401,32575,"LGB","Long Beach, CA","CA",6,"California",91,2003,2003,0,0,0,0,"2000-2059",33,2036,2102,5,2059,2107,8,8,0,0,"2000-2059",0,"",0,116,124,86,1,589,3,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,7,2,2010-09-07,"WN",19393,"WN","N483WN",935,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,13232,1323201,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,915,916,1,1,0,0,"0900-0959",13,929,1256,3,1325,1259,-26,0,0,-2,"1300-1359",0,"",0,190,163,147,1,1258,6,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,9,4,2010-09-09,"OO",20304,"OO","N368CA",4470,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,11292,1129202,30325,"DEN","Denver, CO","CO",8,"Colorado",82,1956,2023,27,27,1,1,"1900-1959",12,2035,2130,6,2119,2136,17,17,1,1,"2100-2159",0,"",0,83,73,55,1,390,2,0,0,0,0,17,NA,NA,NA
2010,3,9,17,5,2010-09-17,"OO",20304,"OO","N561SW",7771,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,14794,1479401,34794,"SGU","St. George, UT","UT",49,"Utah",87,955,954,-1,0,0,-1,"0900-0959",14,1008,1107,3,1118,1110,-8,0,0,-1,"1100-1159",0,"",0,83,76,59,1,269,2,NA,NA,NA,NA,NA,NA,NA,NA
2010,3,9,27,1,2010-09-27,"WN",19393,"WN","N431WN",524,14869,1486902,34614,"SLC","Salt Lake City, UT","UT",49,"Utah",87,13796,1379601,32457,"OAK","Oakland, CA","CA",6,"California",91,1105,1100,-5,0,0,-1,"1100-1159",12,1112,1133,5,1205,1138,-27,0,0,-2,"1200-1259",0,"",0,120,98,81,1,589,3,NA,NA,NA,NA,NA,NA,NA,NA
